SRC	DST	PRICE	SRC_LAT	SRC_LNG	DST_LAT	DST_LNG	distance
Amsterdam	Aberdeen	107	52.3499686881	4.91664017601	57.201944	-2.197778	705
Amsterdam	Agadir	221	52.3499686881	4.91664017601	30.381353	-9.546311	2711
Amsterdam	Alanya	118	52.3499686881	4.91664017601	36.2993	32.3014	2785
Amsterdam	Alicante	81	52.3499686881	4.91664017601	38.282169	-0.558156	1619
Amsterdam	Almeria	141	52.3499686881	4.91664017601	36.843936	-2.370097	1814
Amsterdam	Amman	1097	52.3499686881	4.91664017601	31.722556	35.993214	3393
Amsterdam	Ankara	108	52.3499686881	4.91664017601	40.128082	32.995083	2525
Amsterdam	Antalya	112	52.3499686881	4.91664017601	36.898731	30.800461	2646
Amsterdam	Athens	106	52.3499686881	4.91664017601	37.936358	23.944467	2175
Amsterdam	Atlanta	2134	52.3499686881	4.91664017601	33.636719	-84.428067	7069
Amsterdam	Avignon	199	52.3499686881	4.91664017601	43.9073	4.901831	938
Amsterdam	Aviles	149	52.3499686881	4.91664017601	43.563567	-6.034622	1268
Amsterdam	Bahrain	314	52.3499686881	4.91664017601	26.270834	50.63361	4764
Amsterdam	Baku	148	52.3499686881	4.91664017601	40.4675	50.046667	3631
Amsterdam	Bangkok	421	52.3499686881	4.91664017601	13.681108	100.747283	9190
Amsterdam	Barcelona	80	52.3499686881	4.91664017601	41.297078	2.078464	1246
Amsterdam	Bari	135	52.3499686881	4.91664017601	41.138856	16.760594	1533
Amsterdam	Basel	33	52.3499686881	4.91664017601	47.59	7.529167	560
Amsterdam	Beijing	713	52.3499686881	4.91664017601	40.080111	116.584556	7811
Amsterdam	Beirut	146	52.3499686881	4.91664017601	33.820931	35.488389	3182
Amsterdam	Belfast	49	52.3499686881	4.91664017601	54.6575	-6.215833	778
Amsterdam	Bergamo	131	52.3499686881	4.91664017601	45.673889	9.704166	819
Amsterdam	Bergen	107	52.3499686881	4.91664017601	60.293386	5.218142	882
Amsterdam	Berlin	47	52.3499686881	4.91664017601	52.499790999999995	13.365974000000001	572
Amsterdam	Bilbao	135	52.3499686881	4.91664017601	43.301097	-2.910608	1161
Amsterdam	Birmingham	44	52.3499686881	4.91664017601	52.453856	-1.748028	451
Amsterdam	Bodrum	104	52.3499686881	4.91664017601	37.249	27.667	2437
Amsterdam	Boise	1189	52.3499686881	4.91664017601	43.564361	-116.222861	7949
Amsterdam	Bologna	139	52.3499686881	4.91664017601	44.535444	11.288667	986
Amsterdam	Bordeaux	147	52.3499686881	4.91664017601	44.828335	-0.715556	932
Amsterdam	Boston	2223	52.3499686881	4.91664017601	42.364347	-71.005181	5551
Amsterdam	Bourgas	176	52.3499686881	4.91664017601	42.569583	27.515236	2002
Amsterdam	Bremen	356	52.3499686881	4.91664017601	53.0475	8.786667	271
Amsterdam	Bristol	35	52.3499686881	4.91664017601	51.382669	-2.719089	534
Amsterdam	Brussels	111	52.3499686881	4.91664017601	50.901389	4.484444	163
Amsterdam	Bucharest	169	52.3499686881	4.91664017601	44.572161	26.102178	1775
Amsterdam	Buenos Aires	1818	52.3499686881	4.91664017601	-34.822222	-58.535833	11465
Amsterdam	Cagliari	165	52.3499686881	4.91664017601	39.251469	9.054283	1489
Amsterdam	Cairo	248	52.3499686881	4.91664017601	30.121944	31.405556	3279
Amsterdam	Calgary	953	52.3499686881	4.91664017601	51.113888	-114.020278	7165
Amsterdam	Cancun	1775	52.3499686881	4.91664017601	21.036528	-86.877083	8284
Amsterdam	Cape Town	746	52.3499686881	4.91664017601	-33.964806	18.601667	9683
Amsterdam	Cardiff	123	52.3499686881	4.91664017601	51.396667	-3.343333	576
Amsterdam	Casablanca	68	52.3499686881	4.91664017601	33.367467	-7.589967	2334
Amsterdam	Catania	684	52.3499686881	4.91664017601	37.466781	15.0664	1832
Amsterdam	Colombo	805	52.3499686881	4.91664017601	7.180756	79.884117	8351
Amsterdam	Copenhagen	80	52.3499686881	4.91664017601	55.617917	12.655972	622
Amsterdam	Cork	78	52.3499686881	4.91664017601	51.841269	-8.491111	915
Amsterdam	Cuneo	131	52.3499686881	4.91664017601	44.547019	7.623217	889
Amsterdam	Dalaman	118	52.3499686881	4.91664017601	36.713056	28.7925	2546
Amsterdam	Dammam	1119	52.3499686881	4.91664017601	26.471161	49.79789	4693
Amsterdam	Delhi	339	52.3499686881	4.91664017601	28.5665	77.103088	6348
Amsterdam	Diyabakir	139	52.3499686881	4.91664017601	37.893897	40.201019	3154
Amsterdam	Donetsk	84	52.3499686881	4.91664017601	48.073611	37.739722	2360
Amsterdam	Dubai	146	52.3499686881	4.91664017601	25.252778	55.364444	5156
Amsterdam	Dublin	74	52.3499686881	4.91664017601	53.421333	-6.270075	758
Amsterdam	Dubrovnik	188	52.3499686881	4.91664017601	42.561353	18.268244	1475
Amsterdam	Durban	746	52.3499686881	4.91664017601	-29.970089	30.950519	9491
Amsterdam	East Midlands	58	52.3499686881	4.91664017601	52.831111	-1.328056	424
Amsterdam	Edinburgh	49	52.3499686881	4.91664017601	55.95	-3.3725	670
Amsterdam	El Aroui	148	52.3499686881	4.91664017601	34.9888	-3.02821	2029
Amsterdam	Erbil	485	52.3499686881	4.91664017601	36.237611	43.963158	3524
Amsterdam	Exeter	50	52.3499686881	4.91664017601	50.734444	-3.413889	602
Amsterdam	Faro	98	52.3499686881	4.91664017601	37.014425	-7.965911	1978
Amsterdam	Florence	174	52.3499686881	4.91664017601	43.809953	11.2051	1056
Amsterdam	Gassim	446	52.3499686881	4.91664017601	26.302822	43.773911	4332
Amsterdam	Geneva	36	52.3499686881	4.91664017601	46.238064	6.10895	684
Amsterdam	Genoa	464	52.3499686881	4.91664017601	44.413333	8.8375	927
Amsterdam	Gerona	64	52.3499686881	4.91664017601	41.900969	2.760547	1172
Amsterdam	Glasgow	72	52.3499686881	4.91664017601	55.871944	-4.433056	723
Amsterdam	Gothenborg	105	52.3499686881	4.91664017601	57.662836	12.279819	753
Amsterdam	Gran Canaria	143	52.3499686881	4.91664017601	27.931886	-15.386586	3190
Amsterdam	Granada	167	52.3499686881	4.91664017601	37.188731	-3.777356	1815
Amsterdam	Guernsey	131	52.3499686881	4.91664017601	49.434956	-2.601969	618
Amsterdam	Hamburg	110	52.3499686881	4.91664017601	53.630389	9.988228	367
Amsterdam	Hannover	417	52.3499686881	4.91664017601	52.461056	9.685078	323
Amsterdam	Hanoi	360	52.3499686881	4.91664017601	21.221192	105.807178	8855
Amsterdam	Helsinki	106	52.3499686881	4.91664017601	60.317222	24.963333	1509
Amsterdam	Heraklion	117	52.3499686881	4.91664017601	35.339719	25.180297	2474
Amsterdam	Ho Chi Minh City	707	52.3499686881	4.91664017601	10.818797	106.651856	9831
Amsterdam	Hong Kong	1621	52.3499686881	4.91664017601	22.308919	113.914603	9257
Amsterdam	Houston	2817	52.3499686881	4.91664017601	29.984433	-95.341442	8051
Amsterdam	Ibiza	106	52.3499686881	4.91664017601	38.872858	1.373117	1522
Amsterdam	Inverness	78	52.3499686881	4.91664017601	57.5425	-4.0475	811
Amsterdam	Istanbul	88	52.3499686881	4.91664017601	40.9377375	29.0619125	2219
Amsterdam	Izmir	138	52.3499686881	4.91664017601	38.292392	27.156953	2319
Amsterdam	Jersey	138	52.3499686881	4.91664017601	49.207947	-2.195508	609
Amsterdam	Kayseri	118	52.3499686881	4.91664017601	38.770386	35.495428	2785
Amsterdam	Keffallinia	136	52.3499686881	4.91664017601	38.120069	20.500481	1987
